id,mst,ten_nnt,dia_chi,cqt
27,3200696238,"Công Ty Cổ Phần Năng Lượng Mt6","Ấp Tân Lịch, Xã Gio Hòa (hết hiệu lực), Huyện Gio Linh, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
28,3200697915,"Công Ty Cổ Phần Năng Lượng Tái Tạo Gio Mỹ","Thôn An Mỹ, Xã Gio Mỹ, Huyện Gio Linh, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
29,0401994334,"Công Ty Cổ Phần Điện Gió Phong Huy","Số 56 Lê Duẩn, Thị trấn Khe Sanh, Huyện Hướng Hoá, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
30,0401994327,"Công Ty Cổ Phần Điện Gió Phong Nguyên","Số 1, Ngõ 23, Đường Hùng Vương, Thị trấn Khe Sanh, Huyện Hướng Hoá, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
31,3200698468,"Công Ty Cổ Phần Điện Gió Phong Liệu","Thôn Xa Lăng, Xã Đa Krông, Huyện Đa Krông, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
32,3200699951,"Công Ty Cổ Phần Điện Gió Licogi 16 Quảng Trị 2","Đường Nguyễn Trung Trực, Khu phố 7, Phường 3, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
33,3200699969,"Công Ty Cổ Phần Điện Gió Licogi 16 Quảng Trị 1","Đường Nguyễn Trung Trực, Khu phố 7, Phường 3, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
34,3200700325,"Công Ty Cổ Phần Quang Năng Nam Phát","Kiệt 02 đường Trương Công Kỉnh, Phường Đông Lễ, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
35,3200705845,"Công Ty Cổ Phần Điện Gió Hướng Hiệp 1","Số 8, đường Thân Nhân Trung, Phường Đông Lương, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
36,3200706768,"Công Ty Cổ Phần Điện Gió Hướng Linh 8","Thôn Mã Lai, Xã Hướng Phùng, Huyện Hướng Hoá, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
