ID,MST,Ten_NNT,Dia_chi,CQT
2363,3200616338,Công ty Trách nhiệm hữu hạn Một thành viên Phượng Hoàng Đakrông,"Khóm 1, thị trấn Krông Klang, huyện Đa Krông, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
2364,3200628044,Công ty TNHH Một thành viên Dụng Cụ Du lịch Jinquan Việt Nam,"Khu công nghiệp Nam Đông Hà, phường Đông Lương, TP Đông Hà, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
2365,3200133838,Công ty Trách nhiệm hữu hạn Chaichareon Việt - Thái,"Số 22 Lê Hồng Phong, Khóm Tây Chín, thị trấn Lao Bảo, huyện Hướng Hoá, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
2366,3200598865,Công ty Cổ phần Chế Biến Tinh Bột Sắn An Thái,"Thôn An Thái, xã Cam Tuyền, huyện Cam Lộ, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
2367,3200233085,Công ty Trách nhiệm hữu hạn Thương mại và Dịch vụ Tổng hợp Đức Dũng,"Khu K5, đường Trần Bình Trọng, phường Đông Lễ, TP Đông Hà, tỉnh Quảng Trị",Đội Thuế liên huyện Đông Hà - Cam Lộ
2368,3200178282,Công ty Trách nhiệm hữu hạn Mai Hoàng,"Khóm 1, thị trấn Krông Klang, huyện Đa Krông, tỉnh Quảng Trị",Đội Thuế liên huyện Hướng Hóa - Đakrông
2369,3200436293,Công ty Cổ phần Đầu tư Thương mại Xây dựng Đức Phát,"Số 64 Nguyễn Du, phường 5, TP Đông Hà, tỉnh Quảng Trị",Đội Thuế liên huyện Đông Hà - Cam Lộ
2370,3200706990,Công ty Cổ phần Thương mại Phúc Sơn Group,"Tầng 1 số nhà 86A đường Trường Chinh, phường 5, TP Đông Hà, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
2371,3200673061,Công ty Trách nhiệm hữu hạn Mi Phương,"Số 11 Lý Thường Kiệt, thị trấn Lao Bảo, huyện Hướng Hoá, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
2372,3200574053,Công ty Cổ phần Đầu tư Xây dựng Công trình 32,"Khu phố 8, phường 5, TP Đông Hà, tỉnh Quảng Trị",Đội Thuế liên huyện Đông Hà - Cam Lộ
2373,3200289948,Công ty Trách nhiệm hữu hạn Linh Trang,"Số 75 Trần Hưng Đạo, phường 2, thị xã Quảng Trị, tỉnh Quảng Trị",Đội Thuế liên huyện Triệu Hải
2374,3200114264,Công ty TNHH MTV Thương mại Bình Phương,"Quốc lộ 1A, xã Vĩnh Long, huyện Vĩnh Linh, tỉnh Quảng Trị",Đội Thuế liên huyện Vĩnh Linh - Gio Linh
